smiles
O=CCCOO
C1CCCCC1
CC(=O)[C@](N=C=C)(O)N
C/C=C/C(=N)ON
C[C@H](/C=N\C(=C)O)N
C[C@@H](C(=O)O)C(=O)N=C
COC(N(C(=O)N)O)(C)C
CCC(=N)/C(=C/C)/O
CC(=O)/C(=C(\C(=O)O)/C)/C
CC(=C)C(=C)C(O)(O)C
O=C/C(=N\C(=O)N)/O
C/C=N\NC(O)(C)C
C/C=N/CC(=C)[C@H](O)C
CC(=C=C=C(O)N)C
COC(=C)C(=O)NN
CO[C@@](C(C)(C)C)(O)C
C/C=C\C(=C)C
CNC(=C)N(C(=C)C)N
O/N=C/C(=C)C=C
COC(=N)N(C(=O)C)N
OC(CC(=O)N)O
C[C@H](C(=N)ON)NC
C/C(=C/C(=N)C(N)N)/N
CC[C@@H]1N[C@@H]1C(=N)C
O=C1C=C([C@H](N1)C)O
N=C=C[C@H](C#N)N
C[C@H](C(=N)N)CCO
CN[C@]1(N)[C@@H](N1O)C
N=C/N=C\C=N
CC(=NC(C)(C)C)N
CC(=C/C(=C(\N)/C)/C)C
NN(C=N)OC(=O)O
CC(=N)/C=N\N=O
NC(=O)N1OO1
N=CN(C=O)N
C[C@@](C(=O)O)(CNC)O
OCN(N(N)N)C
CC/C(=N\C(=O)O)/C(C)C
NN(C(=C)CO)N=C
C=N[C@H](C(=C)N=O)C
C[C@H]1N(N)C=C1C
NC(C(=N)C(=O)O)N
CN1CN([C@H]1C)O
C=C[C@@](C=O)(O)C
CON([C@H](C(C)C)N)C
C[C@H]([C@H]([C@@]1(C)CC1=C)C)O
CO[C@@](CC(=N)C)(O)C
CC(=N)[C@@H]1CC1=O
NN(CCC(=O)C)O
C[C@H](C(=N)N=C)CC
OC1=C[C@@H]2[C@H]1N2
NC1=C(C(=C)[C@@H]1C)C
CC[C@H](CC=O)O
NCC(=O)NC#C
NC(=N)NC(=C)N=C
CN[C@@H](/C=C(\O)/C)N
C[C@@]([C@@H](O)N)(C/C=C\C)O
C=C[C@H]([C@H](C(=O)O)N)C
CN(C(=C)C(=O)O)OC
C[C@@H](C(=O)O)C(=C)C=C
OC[C@@](C1CC1)(O)C
NN(C(=O)[C@]1(C)N=N1)N
C[C@@]1(N)NCCO1
COC(=N)/C(=C(\O)/C)/C
N/C=C(/C(=O)C(=O)N)\C
Cc1cocc1C
N[C@@H]1C[C@@H]2[C@H](N1)C2=C
C=CNNC(C)(C)C
CN[C@@H]([C@@H]([C@@H](N)C)O)N
Cc1c(O)n(n1O)C
CN[C@H](C(=C)C(=O)C)C
[H]/N=C(\C)CO[C@@H]1CO1
NO[C@@H](C(=N)CN)C
OCC[C@H]([C@@](O)(N)C)N
CCC(CC(N)N)(C)C
C[C@@](C=C)(OC)O
CCC(=N)/C(=N\N)/C
C[C@@H](C=N)CC(=O)O
O=C=C[C@H](C(=O)N)N
NC(C=C(N)N)N
COC(=C)[C@@H](C(=C)C)N
CCC(=C)C(=N)O
CC(=C)O[C@@H](C=O)N
CC(=O)[C@@H](N(O)N)N
CC[C@@](C(N)(N)N)(O)C
O=C/C=C\C(C)C
C=CC[C@H](C(N)N)O
NN=NC1(N)CC1
NN/C(=C/C1(O)CC1)/N
ONC(=O)C(=N)C=N
C[C@@H](OC(=O)[C@@H](N)C)O
C/C(=C\NC(=O)C)/N
CC(C)(C)NC(C)(O)O
C[C@@](OO)(NC)O
N=C=C[C@@H](C(=N)N)C
CC(=O)[C@]1(N)OC1=C
C[C@H]1N=C(C1(C)C)C
O=COCC(=N)N(C)C
CC[C@@H](OC#CO)O
OC1=NC1(C)C
C[C@@](C#N)([C@H](N)C)O
CN(CC(=C)C(=O)C)O
CC(=O)N(C(=N)CN)N
C[C@](C(=N)C)(NN)N
CNC(=C)N(NC)C
NCNC(OC)(C)C
CC[C@H](/C(=N/C)/N)O
C#CC(=C)C(N)(C)C
N/C=C(/C(=N)N)\N
C/C=C(/C(=O)C#C)\C
NC([C@@](C(=O)N)(N)C)N
C[C@]12C=C[C@@]2(N1)C
C=C=CN1C[C@H]1C=C
C[C@@H](C#N)CC=O
C=N[C@H](/C(=N\O)/N)C
CC(=C(C(C)(C)C)N)C
C=C[C@@H]1CC1=C
CC/C=N\C(=N\O)\N
O[C@@H](C#C)COO
CC[C@](C(=C)C)(O)N
C[C@@](C=N)(NN)N
O=C1CC=C(C1=C)O
CN[C@@](N(C)C)(O)C
CNC(=O)CN(C(=O)C)N
N[C@@H](C=C=O)CN
NCN(N(C)C)O
O=C[C@H]([C@H]1NC1(C)C)C
OC/N=C\C=N
CC([C@@H]([C@@H](C(O)O)C)O)C
C[C@@H](CO)CC=O
COCC(=N)N=C
C=CN(C(=C)C)O
N=C1NC1(N)N
C/C=C(/[C@@H](O)C)\O
COO[C@@H](N)C
COC(=N)CC(=O)C#N
C/C(=C/C)/[C@@H](NO)N
C=C[C@H](NC(O)(C)C)C
C=CO[C@@H](N=C)OC
C/C=N\CN(O)N
N/N=C(/C(=C)C=N)\O
C=C[C@H](N(O)O)C
C[C@H](C(=O)C)C(=C)C#C
CN[C@H]([C@H](O)N)O
CC1=CC[C@](C1=O)(C)O
OOC(N=N)(C)C
C[C@@H](C(=N)N(O)C)CN
OOCC(=C)N=C
N[C@H](N(O)C)N(C)C
CC(=C=N)[C@@H](C(=O)N)N
CC(=N)/N=C\1/CC1=C
O=CC1(CC1)C(C)C
NC(=N)C(N)N
O=C1CN(C(=O)O1)C
N[C@]1(NN)NC1=O
ON1O[C@@]2([C@@]1(N)O2)C
C=C1NN=C([C@@H]1C)C
CC(=N)CC(=O)N
C=CC(=O)CC=C(N)N
N[C@@H]1[C@@H]2[C@]1(C2)N
N=C=C(OC(=N)N)O
CC(=O)O[C@](O)(N)C
C[C@@H](N(C)C)N=C=N
CN1CC(=CNC1)O
CN/N=C\C(=N)C
OC(C(=C)N=C)O
CCC(=N)CC(=O)C
O=C/C(=N\C(=C(\O)/C)\N)/C
CN(OC=C=O)O
C[C@H](C(=O)C)C(=O)ON
OC[C@H](/N=C(\NO)/N)C
C[C@@H](N=C=O)C=C
C=NC(=N)OC#N
OC(=C)[C@@H](C(=N)C)N
CC(=N)C/C(=C(/N)\C)/O
C=C/C(=C\C(=C)C(=C)N)/N
C/C(=N/O)/CC(=O)C
CC(=C=C)N([C@H](N)C)O
CO[C@]1(C=C)C[C@@H]1C
CC[C@]1(C)[C@@H](C1=N)C
N[C@H](C=C)CCN
O[C@H]1ONC=N1
CN[C@H](OC(C)C)OC
N[C@@H]1COC1(N)N
C=C=N[C@H]1CO1
NN(C(=N)N)[C@@H]1CC1=C
C#C[C@@H](C(=C(C)C)N)N
NN[C@H](CC(N)N)N
C[C@@](C=O)(NC)N
OCC(=N)/C(=C(/N)\C)/C
C[C@H](NC(=C)N)O
O=C1CC(=O)C(O1)(O)O
CCOCNC(=O)O
CN/C=N\C=C/C
C[C@H]1[C@@]2([C@]1(N2)C)N
CO/N=C(/C(N)(C)C)\C
C=C=NCC=N
C=CC(C(=C)C)(N)N
C=C=C([C@](C#N)(O)C)C
C=C/C(=C(/C=N)\O)/N
O[C@@H]1CCCN[C@H]1N
CC[C@@H](C[C@@H](O)C)C
C=C=C(N1NC1=C)N
CN([C@@]1(N)N[C@@H]1C)C
C=C[C@@H](N=C)O
C=C[C@@H](C(C(C)C)(C)C)O
CO[C@H]([C@@]1(N)N=C1C)C
N[C@@]1(NC1=C)C=N
CC(N[C@H]1NC1)C
C[C@@H](C=C)/C=N/C
C/N=C/[C@@H](C#N)N
O/N=C(\C(=O)O)/N
Cc1on(c1N)C
