zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C7NJ00295E/c7nj00295e1/14_0_1.zip,Cr2:4;Cr3:6,Cr2:4;Cr3:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.5b01029/om5b01029_si_002/59_TS_12c_-13e_QUARTET_0_1.zip,Cr0:2,Cr0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jp111108p/jp111108p_si_001/206_0_2.zip,Cr6:1,Cr6:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50813G/c3dt50813g/08_0_1.zip,Cr11:2,Cr11:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CY01125H/d0cy01125h1/54_0_1.zip,Re36:4,Re36:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0CY01125H/d0cy01125h1/53_0_2.zip,Re33:4,Re33:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D2NJ00911K/d2nj00911k1/08_0_2.zip,Re13:4,Re13:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1DT02188E/d1dt02188e1/14_0_2.zip,Re0:6,Re0:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D2DT03819F/d2dt03819f1/03_-1_2.zip,Re26:6;Re34:7,Re26:6;Re34:7
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/anie.201310991/anie_201310991_sm_miscellaneous_information/11_0_1.zip,Re0:7,Re0:7
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/om900881x/om900881x_si_001/18_0_1.zip,Re3:2,Re3:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acscatal.9b04579/cs9b04579_si_001/25_0_1.zip,Re0:0,Re0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4DT02475C/c4dt02475c1/25_0_1.zip,Os0:2,Os0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C4DT02475C/c4dt02475c1/24_0_1.zip,Os0:4,Os0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0DT02713H/d0dt02713h1/01_0_2.zip,Os0:1,Os0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0DT02713H/d0dt02713h1/11_0_2.zip,Os0:1,Os0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D0DT02713H/d0dt02713h1/02_0_2.zip,Os0:1,Os0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/chem.202101404/chem202101404-sup-0001-misc_information/51_0_1.zip,Os0:4,Os0:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1SC04369B/d1sc04369b1/06_0_2.zip,Os0:2,Os0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.est.9b03509/es9b03509_si_001/33_0_2.zip,W4:6;W6:5;W8:5;W12:6;W14:6;W17:6;W21:6;W23:6;W25:6;W32:6;W37:6;W51:5;Os54:4,W4:6;W6:6;W8:6;W12:5;W14:6;W17:6;W21:6;W23:6;W25:6;W32:6;W37:6;W51:6;Os54:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C0DT01299H/c0dt01299h/13_0_1.zip,Pt0:2,Pt0:2
