Well folks, looks like we have 72 reactions on our hands
+----------------------------------------------------------------+------------+------------+--------------+----------+
|                          Reaction ID                           |  Reactant  |  Product   | EGAT barrier | Max Flux |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_MQZTXKZTLDDYNK         | C1CO1.O=CO |  O=CCOCO   |    59.57     |    0     |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_TWGSXTJXQLNWNP         | C1CO1.O=CO |  OC1COCO1  |    61.268    |    0     |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_XSASRUDTFFBDDK         | C1CO1.O=CO |  O=CCCOO   |    104.47    |    0     |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_UKQJDWBNQNAJHB         | C1CO1.O=CO |  O=COCCO   |    58.427    |    0     |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_KYKDRUWGNWYQSD         | C1CO1.O=CO |  OC1CCOO1  |    97.156    |    0     |
|        BDAGIHXWWSANSR-IAYPIBMASNFSPL_to_VOZDABZCYIIVTM         | C1CO1.O=CO |  OC1OCCO1  |    54.624    |    0     |
|                UKQJDWBNQNAJHB_to_MQZTXKZTLDDYNK                |  O=COCCO   |  O=CCOCO   |    114.12    |    0     |
|        UKQJDWBNQNAJHB_to_WGCNASOHLSPBMP-WSFSSNUMVMOOMR         |  O=COCCO   | C=O.O=CCO  |    86.152    |    0     |
|                UKQJDWBNQNAJHB_to_OCSVNKWAJGSUKI                |  O=COCCO   |  OCOC1CO1  |    90.993    |    0     |
|                UKQJDWBNQNAJHB_to_DNNLBMAZSCRRMG                |  O=COCCO   |  OCC1OCO1  |    91.62     |    0     |
|        UKQJDWBNQNAJHB_to_SCKXCAADGDQQCS-VGGSQFUCUMXWEO         |  O=COCCO   | C=C.O=COO  |    124.95    |    0     |
|                UKQJDWBNQNAJHB_to_DTXLZANOYCDGFH                |  O=COCCO   |  OCCC1OO1  |    115.02    |    0     |
|                UKQJDWBNQNAJHB_to_XSASRUDTFFBDDK                |  O=COCCO   |  O=CCCOO   |    128.17    |    0     |
|        UKQJDWBNQNAJHB_to_BDAGIHXWWSANSR-IAYPIBMASNFSPL         |  O=COCCO   | C1CO1.O=CO |    82.719    |    0     |
|                UKQJDWBNQNAJHB_to_JQQGJTHDBODIPT                |  O=COCCO   |  OOC1CCO1  |    138.05    |    0     |
|                UKQJDWBNQNAJHB_to_VOZDABZCYIIVTM                |  O=COCCO   |  OC1OCCO1  |    79.281    |    0     |
|                KYKDRUWGNWYQSD_to_BFPUSHWBRPMZFN                |  OC1CCOO1  |  OCC1COO1  |    99.278    |    0     |
|                KYKDRUWGNWYQSD_to_KQBGNBDMOJYJAO                |  OC1CCOO1  |  C=COOCO   |    80.326    |    0     |
|                KYKDRUWGNWYQSD_to_TXHBRKKPPAECNB                |  OC1CCOO1  |  OC1COOC1  |    80.619    |    0     |
|        KYKDRUWGNWYQSD_to_ASQQEOXYFGEFKQ-IMROMDMJAWUWLK         |  OC1CCOO1  | C1OO1.C=CO |    68.65     |    0     |
|        KYKDRUWGNWYQSD_to_DOAMZWOPDPPKJS-WSFSSNUMVMOOMR         |  OC1CCOO1  | C=O.OC1CO1 |    65.493    |    0     |
|                KYKDRUWGNWYQSD_to_TWGSXTJXQLNWNP                |  OC1CCOO1  |  OC1COCO1  |    58.589    |    0     |
|        KYKDRUWGNWYQSD_to_CVTVRXGPXQVJAU-VGGSQFUCUMXWEO         |  OC1CCOO1  | C=C.OC1OO1 |    76.406    |    0     |
|                KYKDRUWGNWYQSD_to_UVXJOOHEDLXZGH                |  OC1CCOO1  |  OOOC1CC1  |    96.729    |    0     |
|                KYKDRUWGNWYQSD_to_DTXLZANOYCDGFH                |  OC1CCOO1  |  OCCC1OO1  |    69.686    |    0     |
|        KYKDRUWGNWYQSD_to_MYMOFIZGZYHOMD-YOXHCYXIAVIFCZ         |  OC1CCOO1  | O=O.OC1CC1 |    86.044    |    0     |
|        KYKDRUWGNWYQSD_to_BDAGIHXWWSANSR-IAYPIBMASNFSPL         |  OC1CCOO1  | C1CO1.O=CO |    62.416    |    0     |
|                KYKDRUWGNWYQSD_to_VOZDABZCYIIVTM                |  OC1CCOO1  |  OC1OCCO1  |    53.745    |    0     |
|                KYKDRUWGNWYQSD_to_JQQGJTHDBODIPT                |  OC1CCOO1  |  OOC1CCO1  |    71.951    |    0     |
|                KYKDRUWGNWYQSD_to_XSASRUDTFFBDDK                |  OC1CCOO1  |  O=CCCOO   |    63.164    |    0     |
+----------------------------------------------------------------+------------+------------+--------------+----------+
